Learning Standard,Category,Sub-Category,State Standard,,,
RL.8.1,Reading Literature,Key Ideas and Details,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RL.8.10,Reading Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6–8 text complexity band independently and proficiently.",,,
RL.8.11,Reading Standards for Literature,Responding to Literature,"Interpret, analyze, and evaluate narratives, poetry, and drama, artistically and ethically by making connections to: other texts, ideas, cultural perspectives, eras, personal events, and situations.",,,
RL.8.11.a,Reading Standards for Literature,Responding to Literature,Self-select text to develop personal preferences.,,,
RL.8.11.b,Reading Standards for Literature,Responding to Literature,"Establish and use criteria to classify, select, and evaluate texts to make informed judgments about the quality of the pieces.",,,
RL.8.2,Reading Literature,Key Ideas and Details,"Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text.",,,
RL.8.3,Reading Literature,Key Ideas and Details,"Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision.",,,
RL.8.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts.",,,
RL.8.5,Reading Literature,Craft and Structure,Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style.,,,
RL.8.6,Reading Literature,Craft and Structure,"nalyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor.",,,
RL.8.6.a,Reading Standards for Literature,Craft and Structure,"Analyze full-length novels, short stories, poems, and other genres by authors who represent diverse world cultures.",,,
RL.8.7,Reading Literature,Integration of Knowledge and Ideas,"Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors.",,,
RL.8.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,
RL.8.9,Reading Literature,Integration of Knowledge and Ideas,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new.",,,
RL.9-10.1,Reading Literature,Key Ideas and Details,Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,
RL.9-10.10,Reading Literature,Range of Reading and Level of Text Complexity,"By the end of grade 9, read and comprehend literature, including stories, dramas, and poems, in the grades 9–10 text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 10, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 9–10 text complexity band independently and proficiently.",,,
RL.9-10.11,Reading Standards for Literature,Responding to Literature,"Interpret, analyze, and evaluate narratives, poetry, and drama, aesthetically and ethically by making connections to: other texts, ideas, cultural perspectives, eras, personal events and situations.",,,
RL.9-10.11.a,Reading Standards for Literature,Responding to Literature,Self-select text to respond and develop innovative perspectives.,,,
RL.9-10.11.b,Reading Standards for Literature,Responding to Literature,"Establish and use criteria to classify, select, and evaluate texts to make informed judgments about the quality of the pieces.",,,
RL.9-10.2,Reading Literature,Key Ideas and Details,"Determine a theme or central idea of a text and analyze in detail its development over the course of the text, including how it emerges and is shaped and refined by specific details; provide an objective summary of the text.",,,
RL.9-10.3,Reading Literature,Key Ideas and Details,"Analyze how complex characters (e.g., those with multiple or conflicting motivations) develop over the course of a text, interact with other characters, and advance the plot or develop the theme.",,,
RL.9-10.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the cumulative impact of specific word choices on meaning and tone (e.g., how the language evokes a sense of time and place; how it sets a formal or informal tone).",,,
RL.9-10.5,Reading Literature,Craft and Structure,"Analyze how an author’s choices concerning how to structure a text, order events within it (e.g., parallel plots), and manipulate time (e.g., pacing, flashbacks) create such effects as mystery, tension, or surprise.",,,
RL.9-10.6,Reading Literature,Craft and Structure,"Analyze a particular point of view or cultural experience reflected in a work of literature from outside the United States, drawing on a wide reading of world literature.",,,
RL.9-10.7,Reading Literature,Integration of Knowledge and Ideas,"Analyze the representation of a subject or a key scene in two different artistic mediums, including what is emphasized or absent in each treatment (e.g., Auden’s “Musée des Beaux Arts” and Breughel’s Landscape with the Fall of Icarus).",,,
RL.9-10.7.a,Reading Standards for Literature,Integration of Knowledge and Ideas,Analyze works by authors or artists who represent diverse world cultures.,,,
